code_point	symbol	block	block_name	name	tab_completion	latex_code
U+1FB00	🬀	1FB00..1FBFF	Symbols for Legacy Computing	Block sextant-1		
U+1FB01	🬁	1FB00..1FBFF	Symbols for Legacy Computing	Block sextant-2		
U+1FB02	🬂	1FB00..1FBFF	Symbols for Legacy Computing	Block sextant-12		
U+1FB03	🬃	1FB00..1FBFF	Symbols for Legacy Computing	Block sextant-3		
U+1FB04	🬄	1FB00..1FBFF	Symbols for Legacy Computing	Block sextant-13		
U+1FB05	🬅	1FB00..1FBFF	Symbols for Legacy Computing	Block sextant-23		
U+1FB06	🬆	1FB00..1FBFF	Symbols for Legacy Computing	Block sextant-123		
U+1FB07	🬇	1FB00..1FBFF	Symbols for Legacy Computing	Block sextant-4		
U+1FB08	🬈	1FB00..1FBFF	Symbols for Legacy Computing	Block sextant-14		
U+1FB09	🬉	1FB00..1FBFF	Symbols for Legacy Computing	Block sextant-24		
U+1FB0A	🬊	1FB00..1FBFF	Symbols for Legacy Computing	Block sextant-124		
U+1FB0B	🬋	1FB00..1FBFF	Symbols for Legacy Computing	Block sextant-34		
U+1FB0C	🬌	1FB00..1FBFF	Symbols for Legacy Computing	Block sextant-134		
U+1FB0D	🬍	1FB00..1FBFF	Symbols for Legacy Computing	Block sextant-234		
U+1FB0E	🬎	1FB00..1FBFF	Symbols for Legacy Computing	Block sextant-1234		
U+1FB0F	🬏	1FB00..1FBFF	Symbols for Legacy Computing	Block sextant-5		
U+1FB10	🬐	1FB00..1FBFF	Symbols for Legacy Computing	Block sextant-15		
U+1FB11	🬑	1FB00..1FBFF	Symbols for Legacy Computing	Block sextant-25		
U+1FB12	🬒	1FB00..1FBFF	Symbols for Legacy Computing	Block sextant-125		
U+1FB13	🬓	1FB00..1FBFF	Symbols for Legacy Computing	Block sextant-35		
U+1FB14	🬔	1FB00..1FBFF	Symbols for Legacy Computing	Block sextant-235		
U+1FB15	🬕	1FB00..1FBFF	Symbols for Legacy Computing	Block sextant-1235		
U+1FB16	🬖	1FB00..1FBFF	Symbols for Legacy Computing	Block sextant-45		
U+1FB17	🬗	1FB00..1FBFF	Symbols for Legacy Computing	Block sextant-145		
U+1FB18	🬘	1FB00..1FBFF	Symbols for Legacy Computing	Block sextant-245		
U+1FB19	🬙	1FB00..1FBFF	Symbols for Legacy Computing	Block sextant-1245		
