code_point	symbol	block	block_name	name	tab_completion	latex_code
U+2F800	丽	2F800..2FA1F	CJK Compatibility Ideographs Supplement	Cjk compatibility ideograph-2f800		
U+2F801	丸	2F800..2FA1F	CJK Compatibility Ideographs Supplement	Cjk compatibility ideograph-2f801		
U+2F802	乁	2F800..2FA1F	CJK Compatibility Ideographs Supplement	Cjk compatibility ideograph-2f802		
U+2F803	𠄢	2F800..2FA1F	CJK Compatibility Ideographs Supplement	Cjk compatibility ideograph-2f803		
U+2F804	你	2F800..2FA1F	CJK Compatibility Ideographs Supplement	Cjk compatibility ideograph-2f804		
U+2F805	侮	2F800..2FA1F	CJK Compatibility Ideographs Supplement	Cjk compatibility ideograph-2f805		
U+2F806	侻	2F800..2FA1F	CJK Compatibility Ideographs Supplement	Cjk compatibility ideograph-2f806		
U+2F807	倂	2F800..2FA1F	CJK Compatibility Ideographs Supplement	Cjk compatibility ideograph-2f807		
U+2F808	偺	2F800..2FA1F	CJK Compatibility Ideographs Supplement	Cjk compatibility ideograph-2f808		
U+2F809	備	2F800..2FA1F	CJK Compatibility Ideographs Supplement	Cjk compatibility ideograph-2f809		
U+2F80A	僧	2F800..2FA1F	CJK Compatibility Ideographs Supplement	Cjk compatibility ideograph-2f80a		
U+2F80B	像	2F800..2FA1F	CJK Compatibility Ideographs Supplement	Cjk compatibility ideograph-2f80b		
U+2F80C	㒞	2F800..2FA1F	CJK Compatibility Ideographs Supplement	Cjk compatibility ideograph-2f80c		
U+2F80D	𠘺	2F800..2FA1F	CJK Compatibility Ideographs Supplement	Cjk compatibility ideograph-2f80d		
U+2F80E	免	2F800..2FA1F	CJK Compatibility Ideographs Supplement	Cjk compatibility ideograph-2f80e		
U+2F80F	兔	2F800..2FA1F	CJK Compatibility Ideographs Supplement	Cjk compatibility ideograph-2f80f		
U+2F810	兤	2F800..2FA1F	CJK Compatibility Ideographs Supplement	Cjk compatibility ideograph-2f810		
U+2F811	具	2F800..2FA1F	CJK Compatibility Ideographs Supplement	Cjk compatibility ideograph-2f811		
U+2F812	𠔜	2F800..2FA1F	CJK Compatibility Ideographs Supplement	Cjk compatibility ideograph-2f812		
U+2F813	㒹	2F800..2FA1F	CJK Compatibility Ideographs Supplement	Cjk compatibility ideograph-2f813		
U+2F814	內	2F800..2FA1F	CJK Compatibility Ideographs Supplement	Cjk compatibility ideograph-2f814		
U+2F815	再	2F800..2FA1F	CJK Compatibility Ideographs Supplement	Cjk compatibility ideograph-2f815		
U+2F816	𠕋	2F800..2FA1F	CJK Compatibility Ideographs Supplement	Cjk compatibility ideograph-2f816		
U+2F817	冗	2F800..2FA1F	CJK Compatibility Ideographs Supplement	Cjk compatibility ideograph-2f817		
U+2F818	冤	2F800..2FA1F	CJK Compatibility Ideographs Supplement	Cjk compatibility ideograph-2f818		
